FECHA_CORTE;ITEM;NOMBRE_DEL_CLUB;DISCIPLINA_DEPORTIVA;CONDICION;N°_DE_RESOLUCION_INSCRIPCION_PRIMIGENIA;FECHA_DE_REGISTRO;OBSERVACIONES;;
20240229;85;CLUB DE AJEDREZ HUACHO-PERU;AJEDREZ;AFILIADO;964-DNCTD-RND-2019;20/12/2019;"0117-2023-IPD-DNCTD/SRND.
periodo del 12 de noviembre de 2020 al 11 de noviembre de 2024";;
20240229;86;CLUB DE AJEDREZ JULIO GRANDA-HUACHO-PERU;AJEDREZ;AFILIADO;0963-DNCTD-RND-2019;20/12/2019;"0115-2023-IPD-DNCTD/SRND.
periodo del 12 de noviembre de 2020 al 11 de noviembre de 2024";;
20240229;87;ASOCIACIÓN CLUB DE AJEDREZ REQUENA CHESS;AJEDREZ;AFILIADO;0974-DNCTD-RND-2019;31/12/2019;;;
20240229;88;CLUB DE AJEDREZ ANATOLI KARPOV;AJEDREZ;AFILIADO;0976-DNCTD-RND-2019;31/12/2019;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;89;CLUB DE AJEDREZ BORIS SPASSKY;AJEDREZ;AFILIADO;0972-DNCTD-RND-2019;31/12/2019;Periodo 08 de diciembre de 2019 al 07 de diciembre de 2021 (02 años);;
20240229;90;CLUB DE AJEDREZ EMMANUEL LASKER;AJEDREZ;AFILIADO;0975-DNCTD-RND-2019;31/12/2019;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;91;CLUB DE AJEDREZ JOVENES TALENTOS;AJEDREZ;AFILIADO;0977-DNCTD-RND-2019;31/12/2019;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;92;CLUB DE AJEDREZ MIJAIL TAL;AJEDREZ;AFILIADO;0973-DNCTD-RND-2019;31/12/2019;Periodo de cuatro (04) años;;
20240229;93;CLUB DE AJEDREZ PAUL MORPHY;AJEDREZ;AFILIADO;0978-DNCTD-RND-2019;31/12/2019;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;94;CLUB INTERNACIONAL DE AJEDREZ CAISSA;AJEDREZ;AFILIADO;0971-DNCTD-RND-2019;31/12/2019;"0116-2023-IPD-DNCTD/SRND.
periodo del 20 de mayo de 2020 al 19 de mayo de 2024.";;
20240229;95;ASOCIACIÓN CLUB DE AJEDREZ NAYLAMP CHESS;AJEDREZ;AFILIADO;002-DNCTD-RND-2020;02/01/2020;Periodo 2019-2023;;
20240229;96;CLUB DE AJEDREZ EDGAR MARTINEZ VILCHEZ;AJEDREZ;AFILIADO;007-DNCTD-RND-2020;02/01/2020;Periodo de cuatro (04) años;;
20240229;97;CLUB DE AJEDREZ GARRY KASPAROV;AJEDREZ;AFILIADO;005-DNCTD-RND-2020;02/01/2020;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;98;CLUB DE AJEDREZ JULIO ERNESTO GRANDA;AJEDREZ;AFILIADO;004-DNCTD-RND-2020;02/01/2020;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;99;CLUB DE AJEDREZ MAGNUS CARLSEN;AJEDREZ;AFILIADO;003-DNCTD-RND-2020;02/01/2020;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;100;CLUB DE AJEDREZ PEON DE ORO HUANCAVELICA;AJEDREZ;AFILIADO;008-DNCTD-RND-2020;02/01/2020;Periodo 17 de noviembre de 2019 al 16 de noviembre de 2021;;
20240229;101;CLUB DE AJEDREZ REY KASPAROV HUANCAVELICA;AJEDREZ;AFILIADO;006-DNCTD-RND-2020;02/01/2020;Periodo 17 de noviembre de 2019 al 16 de noviembre de 2021;;
20240229;102;CLUB DEPORTIVO QORI INKA DE QORIHUAYRACHINA;AJEDREZ;AFILIADO;001-DNCTD-RND-2020;02/01/2020; 0380-DNCTD-RND-2021, Periodo 2021-2024 (del 13 de mayo de 2021 al 31 de diciembre de 2024);;
20240229;103;CLUB DE AJEDREZ JAQUE TAICON HUANCAVELICA;AJEDREZ;AFILIADO;009-DNCTD-RND-2020;03/01/2020;Periodo 17 de noviembre de 2019 al 16 de noviembre de 2021;;
20240229;104;CLUB DE AJEDREZ PEONCITO DEL MILENIO;AJEDREZ;AFILIADO;010-DNCTD-RND-2020;03/01/2020;Periodo de dos años (del Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021);;
20240229;105;CLUB DE AJEDREZ UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU;AJEDREZ;AFILIADO;011-DNCTD-RND-2020;03/01/2020;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;106;CLUB DEPORTIVO WAYNAS DE MACHUPICCHU;AJEDREZ;AFILIADO;016-DNCTD-RND-2020;03/01/2020; 0381-DNCTD-RND-2021, Periodo 2021-2024 (del 13 de mayo de 2021 al 31 de diciembre de 2024);;
20240229;107;ASOCIACIÓN CLUB DE AJEDREZ DAMA DE ORO;AJEDREZ;AFILIADO;022-DNCTD-RND-2020;06/01/2020;Periodo 2019-2022;;
20240229;108;ASOCIACIÓN CLUB DE AJEDREZ SIPAN CHESS;AJEDREZ;AFILIADO;023-DNCTD-RND-2020;06/01/2020;Periodo 16 de noviembre de 2019 al 15 de noviembre de 2023;;
20240229;109;CLUB DE AJEDREZ EBANO Y MARFIL;AJEDREZ;AFILIADO;017-DNCTD-RND-2020;06/01/2020;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;110;CLUB DE AJEDREZ JUDITH POLGAR;AJEDREZ;AFILIADO;020-DNCTD-RND-2020;06/01/2020;Periodo 11 de setiembre de 2019 al 10 de setiembre de 2021;;
20240229;111;CLUB DE AJEDREZ PUNO CHESS CLUB;AJEDREZ;AFILIADO;026-DNCTD-RND-2020;06/01/2020;Periodo 28 de octubre de 2019 al 27 de octubre de 2023;;
20240229;112;CLUB DEPORTIVO COLLPANI GRANDE;AJEDREZ;AFILIADO;018-DNCTD-RND-2020;06/01/2020; 0382-DNCTD-RND-2021, Periodo 2021-2024 (del 13 de mayo de 2021 al 31 de diciembre de 2024);;
20240229;113;CLUB DEPORTIVO CUSCO NADADORES;AJEDREZ;AFILIADO;025-DNCTD-RND-2020;06/01/2020;Periodo de cinco (04) años, elegida en asamblea general del 21 de noviembre de 2018;;
20240229;114;CLUB DEPORTIVO LA SALLE CUSCO;AJEDREZ;AFILIADO;021-DNCTD-RND-2020;06/01/2020;Periodo de cuatro (04) años;;
20240229;115;CLUB DEPORTIVO SOCIAL OLÍMPICO WANCHINO;AJEDREZ;AFILIADO;024-DNCTD-RND-2020;06/01/2020;Periodo de cinco (05) años, elegida en asamblea general del 18 de marzo de 2019;;
20240229;116;CLUB DEPORTIVO SOCIAL RIVER SAPHI;AJEDREZ;AFILIADO;019-DNCTD-RND-2020;06/01/2020;0490-2021-IPD-DNCTD/RND. período 05 de julio del 2021 al 05 de julio del 2023;;
20240229;117;CLUB APERTURA MODERNA-PUNO;AJEDREZ;AFILIADO;028-DNCTD-RND-2020;07/01/2020;Periodo 28 de octubre de 2019 al 27 de octubre de 2023;;
20240229;118;CLUB DE AJEDREZ-JAQUE MATE ACADEMIAS;AJEDREZ;AFILIADO;027-DNCTD-RND-2020;07/01/2020;Periodo 03 de noviembre de 2019 al 02 de noviembre de 2023;;
20240229;119;ACADEMIA DE TALENTOS ALFIL ROJO;AJEDREZ;AFILIADO;039-DNCTD-RND-2020;08/01/2020; 0410-DNCTD-RND-2021, Periodo de 2021 al 2023;;
20240229;120;ASOCIACIÓN CLUB DEPORTIVO WIRACOCHA;AJEDREZ;AFILIADO;038-DNCTD-RND-2020;08/01/2020;Periodo de tres (03) años;;
20240229;121;CLUB DEPORTIVO LA SALLE MACHUPICCHU;AJEDREZ;AFILIADO;041-DNCTD-RND-2020;08/01/2020; 0379-DNCTD-RND-2021, Periodo 2021-2024 (del 13 de mayo de 2021 al 31 de diciembre de 2024);;
20240229;122;NAMASTE PERU;AJEDREZ;AFILIADO;037-DNCTD-RND-2020;08/01/2020;Periodo de cuatro (04) años;;
20240229;123;ASOCIACIÓN DEPORTIVA CULTURAL LUIS VALLEJO SANTONI;AJEDREZ;AFILIADO;0096-DNCTD-RND-2020;24/01/2020;" 234-2023-IPD-DNCTD/SRND.
Periodo del 2021 al 2024";;
20240229;124;ASOCIACIÓN DEPORTIVA CULTURAL PERUANO ESPAÑOL;AJEDREZ;AFILIADO;0097-DNCTD-RND-2020;27/01/2020; 0412-DNCTD-RND-2021, Periodo 2021-2024;;
20240229;125;ASOCIACIÓN DEPORTIVA CULTURAL TORA DOJO;AJEDREZ;AFILIADO;0098-DNCTD-RND-2020;27/01/2020; 0393-DNCTD-RND-2021, Periodo 2021 al 2024;;
20240229;126;ESCUELA DEPORTIVA MUNICIPAL DE SAN SEBASTIÁN;AJEDREZ;AFILIADO;0099-DNCTD-RND-2020;27/01/2020; 0397-DNCTD-RND-2021, Periodo 2021 al 2024;;
20240229;127;ESCUELA DEPORTIVA MUNICIPAL DE SANTIAGO;AJEDREZ;AFILIADO;0100-DNCTD-RND-2020;27/01/2020; 0413-DNCTD-RND-2021, Periodo 2021-2025;;
20240229;128;CLUB DEFENSOR CAPLINA-POCOLLAY;AJEDREZ;AFILIADO;0125-DNCTD-RND-2020;03/02/2020;Periodo de cuatro (04) años (del 18 de marzo de 2018 al 18 de marzo de 2022);;
20240229;129;CLUB CASA DEL AJEDREZ PERU;AJEDREZ;AFILIADO;0504-2021-IPD-DNCTD-SRND;31/08/2021;período de dos años;;
